District	Region
Abbott ISD	8
Abernathy ISD	16
Abilene ISD	6
Academy ISD	8
Adrian ISD	1
Agua Dulce ISD	14
Alamo Heights ISD	12
Alba-Golden ISD	4
Albany ISD	6
Aldine ISD	33
Aledo ISD	30
Alice ISD	14
Alief ISD	23
Allen ISD	25
Alpine ISD	6
Alto ISD	21
Alvarado ISD	30
Alvin ISD	17
Alvord ISD	2
Amarillo ISD	1
Amherst ISD	16
Anahuac ISD	10
Anderson-Shiro Cons ISD	8
Andrews ISD	6
Angleton ISD	17
Anna ISD	25
Anson ISD	7
Anthony ISD	22
Anton ISD	16
Apple Springs ISD	21
Aquilla ISD	8
Aransas County ISD	14
Aransas Pass ISD	14
Archer City ISD	7
Argyle ISD	2
Arlington ISD	5
Arp ISD	21
Aspermont ISD	16
Athens ISD	21
Atlanta ISD	4
Aubrey ISD	2
Austin ISD	18
Austwell-Tivoli ISD	14
Avalon ISD	8
Avery ISD	4
Avinger ISD	4
Axtell ISD	8
Azle ISD	30
Baird ISD	6
Ballinger ISD	6
Balmorhea ISD	6
Bandera ISD	29
Bangs ISD	6
Banquete ISD	14
Barbers Hill ISD	19
Bartlett ISD	8
Bastrop ISD	18
Bay City ISD	13
Beaumont ISD	10
Beckville ISD	21
Beeville ISD	14
Bellevue ISD	7
Bells ISD	25
Bellville ISD	27
Belton ISD	8
Ben Bolt-Palito Blanco Cons ISD	14
Benavides ISD	14
Benjamin ISD	7
Big Sandy ISD (Polk)	10
Big Sandy ISD (Upshur)	4
Big Spring ISD	6
Birdville ISD	31
Bishop Cons ISD	14
Blackwell Cons ISD	6
Blanco ISD	12
Bland ISD	3
Blanket ISD	7
Bloomburg ISD	4
Blooming Grove ISD	8
Bloomington ISD	14
Blue Ridge ISD	25
Bluff Dale ISD	7
Blum ISD	8
Boerne ISD	29
Boles ISD	3
Boling ISD	13
Bonham ISD	25
Booker ISD	1
Borden County ISD	6
Borger ISD	1
Bosqueville ISD	8
Bovina ISD	16
Bowie ISD	2
Boyd ISD	2
Boys Ranch ISD	1
Brackett ISD	11
Brady ISD	6
Brazos ISD	13
Brazosport ISD	17
Brazosport ISD (Freeport)	13
Breckenridge ISD	7
Bremond ISD	8
Brenham ISD	27
Bridge City ISD	10
Bridgeport ISD	2
Broaddus ISD	21
Brock ISD	30
Bronte ISD	6
Brookeland ISD	10
Brookesmith ISD	7
Brooks ISD	14
Brownfield ISD	16
Brownsboro ISD	21
Brownsville ISD	28
Brownwood ISD	7
Bruceville-Eddy ISD	8
Bryan ISD	8
Bryson ISD	7
Buckholts ISD	26
Buena Vista ISD	6
Buffalo ISD	8
Bullard ISD	21
Buna ISD	10
Burkburnett ISD	7
Burkeville ISD	10
Burleson ISD	30
Burnet Cons ISD	32
Burton ISD	26
Bushland ISD	1
Bynum ISD	8
Caddo Mills ISD	3
Calallen ISD	14
Caldwell ISD	26
Calhoun County ISD	14
Callisburg ISD	2
Calvert ISD	8
Cameron ISD	8
Campbell ISD	3
Canadian ISD	1
Canton ISD	3
Canutillo ISD	22
Canyon ISD	1
Carlisle ISD	21
Carrizo Springs Cons ISD	11
Carroll ISD	31
Carrollton-Farmers Branch ISD	31
Carthage ISD	21
Castleberry ISD	30
Cayuga ISD	3
Cedar Hill ISD	5
Celeste ISD	3
Celina ISD	25
Center ISD	21
Center Point ISD	29
Centerville ISD (Trinity)	21
Centerville ISD (Leon)	8
Central Heights ISD	21
Central ISD	21
Channelview ISD	19
Channing ISD	1
Chapel Hill ISD (Titus)	4
Chapel Hill ISD (Smith)	21
Charlotte ISD	11
Cherokee ISD	32
Chester ISD	10
Chico ISD	2
Childress ISD	1
Chillicothe ISD	7
Chilton ISD	8
China Spring ISD	8
Chireno ISD	21
Chisum ISD	4
Christoval ISD	6
Cisco ISD	7
City View ISD	7
Clarendon ISD	1
Clarksville ISD	4
Claude ISD	1
Clear Creek ISD	17
Cleburne ISD	30
Cleveland ISD	9
Clifton ISD	8
Clint ISD	22
Clyde Cons ISD	6
Coahoma ISD	6
Coldspring-Oakhurst Cons ISD	9
Coleman ISD	7
College Station ISD	8
Collinsville ISD	25
Colmesneil ISD	10
Colorado ISD	6
Columbia-Brazoria ISD	13
Columbus ISD	18
Comal ISD	12
Comanche ISD	7
Comfort ISD	29
Commerce ISD	3
Community ISD	25
Como-Pickton ISD	4
Comstock ISD	11
Connally ISD	8
Conroe ISD	9
Coolidge ISD	8
Cooper ISD	4
Coppell ISD	31
Copperas Cove ISD	8
Corpus Christi ISD	14
Corrigan-Camden ISD	10
Corsicana ISD	8
Cotton Center ISD	16
Cotulla ISD	11
Coupland ISD	26
Covington ISD	8
Crandall ISD	3
Crane ISD	6
Cranfills Gap ISD	8
Crawford ISD	8
Crockett County Cons CSD	6
Crockett ISD	21
Crosby ISD	33
Crosbyton Consolidated ISD	16
Cross Plains ISD	7
Cross Roads ISD	3
Crowell ISD	7
Crowley ISD	30
Crystal City ISD	11
Cuero ISD	12
Culberson County-Allamore ISD	22
Cumby ISD	4
Cushing ISD	21
Cypress-Fairbanks ISD	27
D'Hanis ISD	11
Daingerfield-Lone Star ISD	4
Dalhart ISD	1
Dallas ISD	20
Damon ISD	13
Danbury ISD	13
Darrouzett ISD	1
Dawson ISD (Dawson)	16
Dawson ISD (Navarro)	8
Dayton ISD	10
De Leon ISD	7
Decatur ISD	2
Deer Park ISD	19
Dekalb ISD	4
Del Valle ISD	18
Dell City ISD	22
Denison ISD	25
Denton ISD	2
Denver City ISD	16
DeSoto ISD	20
Detroit ISD	4
Devers ISD	10
Devine ISD	11
Dew ISD	8
Deweyville ISD	10
Diboll ISD	10
Dickinson ISD	17
Dilley ISD	11
Dime Box ISD	26
Dimmitt ISD	1
Divide ISD	29
Dodd City ISD	25
Donna ISD	28
Doss Cons CSD	29
Douglass ISD	21
Dripping Springs ISD	18
Driscoll ISD	14
Dublin ISD	7
Dumas ISD	1
Duncanville ISD	20
Eagle Mt-Saginaw ISD	30
Eagle Pass ISD	11
Eanes ISD	32
Early ISD	7
East Bernard ISD	13
East Central ISD	11
East Chambers ISD	10
Eastland ISD	7
Ector County ISD	6
Ector ISD	25
Edcouch-Elsa ISD	28
Eden Cons ISD	6
Edgewood ISD (Bexar)	11
Edgewood ISD (Van Zandt)	3
Edinburg Cons ISD	15
Edna ISD	13
El Campo ISD	13
El Paso ISD	22
Electra ISD	7
Elgin ISD	26
Elkhart ISD	21
Elysian Fields ISD	4
Ennis ISD	20
Era ISD	2
Etoile ISD	21
Eula ISD	6
Eustace ISD	3
Evadale ISD	10
Evant ISD	8
Everman ISD	30
Excelsior ISD	21
Ezzell ISD	18
Fabens ISD	22
Fairfield ISD	8
Falls City ISD	12
Fannindel ISD	25
Farmersville ISD	25
Farwell ISD	16
Fayetteville ISD	18
Ferris ISD	20
Flatonia ISD	18
Florence ISD	32
Floresville ISD	12
Flour Bluff ISD	14
Floydada ISD	16
Follett ISD	1
Forestburg ISD	2
Forney ISD	3
Forsan ISD	6
Fort Bend ISD	13
Fort Elliott Cons ISD	1
Fort Worth ISD	5
Franklin ISD	8
Frankston ISD	21
Fredericksburg ISD	29
Freer ISD	14
Frenship ISD	16
Friendswood ISD	17
Friona ISD	1
Frisco ISD	24
Frost ISD	8
Fruitvale ISD	3
Ft Davis ISD	22
Ft Hancock ISD	22
Ft Sam Houston ISD	12
Ft Stockton ISD	6
Gainesville ISD	2
Galena Park ISD	33
Galveston ISD	17
Ganado ISD	13
Garland ISD	3
Garner ISD	7
Garrison ISD	21
Gary ISD	21
Gatesville ISD	8
Gause ISD	26
George West ISD	14
Georgetown ISD	26
Gholson ISD	8
Giddings ISD	26
Gilmer ISD	4
Gladewater ISD	4
Glasscock ISD	6
Glen Rose ISD	30
Godley ISD	30
Gold Burg ISD	2
Goldthwaite ISD	7
Goliad ISD	14
Gonzales ISD	18
Goodrich ISD	10
Goose Creek Consolidated ISD	19
Gordon ISD	7
Gorman ISD	7
Grady ISD	6
Graford ISD	7
Graham ISD	7
Granbury ISD	30
Grand Prairie ISD	5
Grand Saline ISD	3
Grandfalls-Royalty ISD	6
Grandview ISD	30
Grandview-Hopkins ISD	1
Granger ISD	26
Grape Creek ISD	6
Grapeland ISD	21
Grapevine-Colleyville ISD	31
Greenville ISD	3
Greenwood ISD	6
Gregory-Portland ISD	14
Groesbeck ISD	8
Groom ISD	1
Groveton ISD	21
